пЕГСКЭРЮРШ ЮМЮКХГЮ ЮМНЛЮКХИ ЛЕРНДНЛ Z-score
==========================================

яРНКАЕЖ: Feature_1
оНПНЦ Z-score: 2.00
бЯЕЦН ГМЮВЕМХИ: 1200
йНКХВЕЯРБН ЮМНЛЮКХИ: 52
оПНЖЕМР ЮМНЛЮКХИ: 4.33%

дЕРЮКЭМШЕ ПЕГСКЭРЮРШ:
яРПНЙЮ	гМЮВЕМХЕ	Z-score	юМНЛЮКХЪ
194	-0.69	-0.7163	мер
195	-0.098	-0.1180	мер
196	0.133	0.1155	мер
197	-0.596	-0.6213	мер
198	-0.045	-0.0644	мер
199	-0.754	-0.7809	мер
200	1.332	1.3272	мер
201	-0.248	-0.2696	мер
202	-0.594	-0.6192	мер
203	1.599	1.5971	мер
204	-0.535	-0.5596	мер
205	-0.921	-0.9497	мер
206	1.251	1.2454	мер
207	-0.825	-0.8527	мер
208	0.35	0.3348	мер
209	-1.603	-1.6390	мер
210	-0.278	-0.2999	мер
211	-0.389	-0.4121	мер
212	0.512	0.4985	мер
213	0.072	0.0538	мер
214	0.662	0.6501	мер
215	-1.478	-1.5126	мер
216	1.147	1.1403	мер
217	-2.554	-2.6001	дю
218	1.691	1.6900	мер
219	-0.086	-0.1058	мер
220	1.195	1.1888	мер
221	0.281	0.2651	мер
222	-1.006	-1.0356	мер
223	-1.334	-1.3671	мер
224	-0.579	-0.6041	мер
225	0.332	0.3166	мер
226	-0.436	-0.4596	мер
227	-0.774	-0.8012	мер
228	0.199	0.1822	мер
229	-1.002	-1.0316	мер
230	0.696	0.6845	мер
231	-1.689	-1.7259	мер
232	0.481	0.4672	мер
233	1.445	1.4414	мер
234	0.527	0.5137	мер
235	1.486	1.4829	мер
236	0.919	0.9098	мер
237	1.821	1.8214	мер
238	-0.949	-0.9780	мер
239	0.204	0.1872	мер
240	-0.235	-0.2564	мер
241	-0.452	-0.4757	мер
242	1.012	1.0038	мер
243	-0.627	-0.6526	мер
244	2.002	2.0044	дю
245	-1.187	-1.2185	мер
246	-0.836	-0.8638	мер
247	-0.46	-0.4838	мер
248	1.173	1.1665	мер
249	-0.167	-0.1877	мер
250	-0.652	-0.6779	мер
251	0.082	0.0639	мер
252	-0.383	-0.4060	мер
253	-0.784	-0.8113	мер
254	-1.26	-1.2923	мер
255	-0.684	-0.7102	мер
256	0.243	0.2267	мер
257	0.316	0.3004	мер
258	-1.502	-1.5369	мер
259	0.363	0.3479	мер
260	0.984	0.9755	мер
261	0.317	0.3014	мер
262	-1.529	-1.5642	мер
263	0.083	0.0650	мер
264	-0.008	-0.0270	мер
265	0.917	0.9078	мер
266	-0.774	-0.8012	мер
267	-0.608	-0.6334	мер
268	-0.239	-0.2605	мер
269	-0.464	-0.4879	мер
270	-0.9	-0.9285	мер
271	0.12	0.1023	мер
272	-0.685	-0.7112	мер
273	-0.624	-0.6496	мер
274	0.82	0.8098	мер
275	-0.36	-0.3828	мер
276	-0.132	-0.1523	мер
277	0.81	0.7997	мер
278	0.111	0.0933	мер
279	-0.396	-0.4191	мер
280	0.282	0.2661	мер
281	0.717	0.7057	мер
282	0.701	0.6895	мер
283	0.224	0.2075	мер
284	0.714	0.7027	мер
285	0.045	0.0266	мер
286	-1.121	-1.1518	мер
287	-0.051	-0.0705	мер
288	2.19	2.1943	дю
289	0.174	0.1569	мер
290	1.048	1.0402	мер
291	0.257	0.2408	мер
292	1.901	1.9023	мер
293	-1.246	-1.2782	мер
294	0.096	0.0781	мер
295	2.366	2.3722	дю
296	-0.319	-0.3413	мер
297	-0.082	-0.1018	мер
298	-1.728	-1.7653	мер
299	-0.26	-0.2817	мер
300	-1.061	-1.0912	мер
301	-1.645	-1.6814	мер
302	-0.075	-0.0947	мер
303	1.947	1.9488	мер
304	0.9	0.8906	мер
305	-0.539	-0.5637	мер
306	0.249	0.2327	мер
307	-0.756	-0.7830	мер
308	-0.257	-0.2787	мер
309	0.921	0.9119	мер
310	-1.007	-1.0366	мер
311	-0.218	-0.2392	мер
312	-0.54	-0.5647	мер
313	1.219	1.2130	мер
314	0.812	0.8017	мер
315	-0.696	-0.7223	мер
316	-1.19	-1.2216	мер
317	1.028	1.0200	мер
318	1.094	1.0867	мер
319	-0.842	-0.8699	мер
320	-0.315	-0.3373	мер
321	0.359	0.3439	мер
322	-1.013	-1.0427	мер
323	-1.588	-1.6238	мер
324	0.82	0.8098	мер
325	1.182	1.1756	мер
326	0.339	0.3237	мер
327	0.433	0.4187	мер
328	-1.121	-1.1518	мер
329	-1.604	-1.6400	мер
330	0.038	0.0195	мер
331	1.312	1.3070	мер
332	-0.896	-0.9245	мер
333	-1.036	-1.0659	мер
334	-0.977	-1.0063	мер
335	1.187	1.1807	мер
336	1.106	1.0988	мер
337	-0.006	-0.0250	мер
338	0.512	0.4985	мер
339	-0.03	-0.0492	мер
340	0.286	0.2701	мер
341	-0.104	-0.1240	мер
342	1.473	1.4697	мер
343	-1.52	-1.5551	мер
344	-1.378	-1.4116	мер
345	0.063	0.0447	мер
346	-0.112	-0.1321	мер
347	0.731	0.7198	мер
348	0.673	0.6612	мер
349	-0.779	-0.8062	мер
350	0.335	0.3196	мер
351	0.29	0.2742	мер
352	0.152	0.1347	мер
353	-0.337	-0.3595	мер
354	-1.178	-1.2094	мер
355	-0.269	-0.2908	мер
356	-0.473	-0.4970	мер
357	1.352	1.3474	мер
358	-0.168	-0.1887	мер
359	-1.556	-1.5915	мер
360	-1.874	-1.9128	мер
361	-0.356	-0.3787	мер
362	0.601	0.5885	мер
363	-0.337	-0.3595	мер
364	0.018	-0.0007	мер
365	-0.707	-0.7334	мер
366	-0.454	-0.4778	мер
367	-1.311	-1.3439	мер
368	0.362	0.3469	мер
369	-0.948	-0.9770	мер
370	0.227	0.2105	мер
371	0.597	0.5844	мер
372	1.435	1.4313	мер
373	0.381	0.3661	мер
374	0.048	0.0296	мер
375	-0.063	-0.0826	мер
376	0.044	0.0255	мер
377	-0.798	-0.8254	мер
378	-1.883	-1.9219	мер
379	0.058	0.0397	мер
380	1.139	1.1322	мер
381	-1.165	-1.1963	мер
382	-0.024	-0.0432	мер
383	-1.771	-1.8087	мер
384	0.09	0.0720	мер
385	0.279	0.2630	мер
386	0.396	0.3813	мер
387	-0.153	-0.1736	мер
388	-1.388	-1.4217	мер
389	1.115	1.1079	мер
390	1.299	1.2939	мер
391	-0.134	-0.1544	мер
392	0.83	0.8199	мер
393	-0.577	-0.6021	мер
394	-1.304	-1.3368	мер
395	0.057	0.0387	мер
396	0.748	0.7370	мер
397	1.13	1.1231	мер
398	-0.84	-0.8679	мер
399	0.208	0.1913	мер
400	-0.257	-0.2787	мер
401	-0.567	-0.5920	мер
402	1.201	1.1948	мер
403	0.25	0.2337	мер
404	0.632	0.6198	мер
405	-1.093	-1.1235	мер
406	1.812	1.8123	мер
407	-0.139	-0.1594	мер
408	1.232	1.2262	мер
409	0.151	0.1337	мер
410	0.875	0.8654	мер
411	0.504	0.4904	мер
412	0.626	0.6137	мер
413	1.133	1.1261	мер
414	1.286	1.2807	мер
415	0.756	0.7451	мер
416	-0.37	-0.3929	мер
417	0.448	0.4338	мер
418	0.286	0.2701	мер
419	-0.039	-0.0583	мер
420	-1.064	-1.0942	мер
421	-0.192	-0.2130	мер
422	-0.621	-0.6465	мер
423	-0.095	-0.1149	мер
424	-0.634	-0.6597	мер
425	0.111	0.0933	мер
426	1.151	1.1443	мер
427	0.113	0.0953	мер
428	1.389	1.3848	мер
429	0.337	0.3217	мер
430	-0.157	-0.1776	мер
431	-1.615	-1.6511	мер
432	0.048	0.0296	мер
433	1.298	1.2929	мер
434	-0.933	-0.9618	мер
435	1.252	1.2464	мер
436	0.877	0.8674	мер
437	0.699	0.6875	мер
438	0.448	0.4338	мер
439	0.397	0.3823	мер
440	1.864	1.8649	мер
441	0.282	0.2661	мер
442	-0.04	-0.0594	мер
443	-1.987	-2.0270	дю
444	-1.76	-1.7976	мер
445	-1.405	-1.4389	мер
446	1.795	1.7952	мер
447	-2.196	-2.2383	дю
448	0.931	0.9220	мер
449	-1.053	-1.0831	мер
450	0.377	0.3621	мер
451	-0.876	-0.9042	мер
452	-0.292	-0.3140	мер
453	-0.011	-0.0300	мер
454	0.102	0.0842	мер
455	-0.213	-0.2342	мер
456	-0.127	-0.1473	мер
457	-0.537	-0.5616	мер
458	1.982	1.9841	мер
459	-0.202	-0.2231	мер
460	-0.194	-0.2150	мер
461	0.185	0.1680	мер
462	-1.261	-1.2933	мер
463	-0.067	-0.0866	мер
464	-1.433	-1.4672	мер
465	0.809	0.7987	мер
466	1.913	1.9144	мер
467	0.647	0.6349	мер
468	-0.342	-0.3646	мер
469	-0.171	-0.1917	мер
470	-0.989	-1.0184	мер
471	2.018	2.0205	дю
472	-0.983	-1.0124	мер
473	0.404	0.3894	мер
474	0.802	0.7916	мер
475	-1.067	-1.0973	мер
476	0.938	0.9290	мер
477	1.284	1.2787	мер
478	-0.724	-0.7506	мер
479	0.158	0.1408	мер
480	-0.666	-0.6920	мер
481	-0.313	-0.3353	мер
482	-0.641	-0.6667	мер
483	-0.612	-0.6374	мер
484	1.145	1.1382	мер
485	-0.439	-0.4626	мер
486	-0.816	-0.8436	мер
487	-1.052	-1.0821	мер
488	2.181	2.1853	дю
489	-0.128	-0.1483	мер
490	-1.272	-1.3044	мер
491	-1.006	-1.0356	мер
492	0.94	0.9311	мер
493	1.355	1.3505	мер
494	0.69	0.6784	мер
495	0.582	0.5693	мер
496	1.7	1.6991	мер
497	-0.846	-0.8739	мер
498	0.183	0.1660	мер
499	-0.081	-0.1008	мер
500	-0.012	-0.0311	мер
501	-0.778	-0.8052	мер
502	-0.863	-0.8911	мер
503	-0.102	-0.1220	мер
504	0.396	0.3813	мер
505	-0.987	-1.0164	мер
506	0.046	0.0276	мер
507	-1.287	-1.3196	мер
508	0.456	0.4419	мер
509	0.912	0.9028	мер
510	-0.376	-0.3989	мер
511	1.0	0.9917	мер
512	-0.686	-0.7122	мер
513	-0.619	-0.6445	мер
514	-0.338	-0.3605	мер
515	-0.122	-0.1422	мер
516	-0.928	-0.9568	мер
517	-0.789	-0.8163	мер
518	-0.744	-0.7708	мер
519	-0.995	-1.0245	мер
520	1.027	1.0190	мер
521	-0.025	-0.0442	мер
522	-1.213	-1.2448	мер
523	0.476	0.4621	мер
524	-0.545	-0.5697	мер
525	0.689	0.6774	мер
526	-1.328	-1.3610	мер
527	1.45	1.4465	мер
528	-1.777	-1.8148	мер
529	0.533	0.5197	мер
530	1.696	1.6951	мер
531	-2.687	-2.7345	дю
532	-0.511	-0.5354	мер
533	-0.7	-0.7264	мер
534	-0.806	-0.8335	мер
535	0.584	0.5713	мер
536	1.297	1.2919	мер
537	0.708	0.6966	мер
538	-0.064	-0.0836	мер
539	0.576	0.5632	мер
540	1.36	1.3555	мер
541	1.067	1.0594	мер
542	1.011	1.0028	мер
543	1.37	1.3656	мер
544	-0.395	-0.4181	мер
545	0.308	0.2923	мер
546	0.207	0.1903	мер
547	0.784	0.7734	мер
548	1.692	1.6911	мер
549	0.334	0.3186	мер
550	-0.093	-0.1129	мер
551	-1.349	-1.3823	мер
552	0.348	0.3328	мер
553	0.424	0.4096	мер
554	1.595	1.5930	мер
555	-0.787	-0.8143	мер
556	-0.972	-1.0013	мер
557	1.306	1.3010	мер
558	-1.214	-1.2458	мер
559	1.206	1.1999	мер
560	-1.024	-1.0538	мер
561	0.638	0.6259	мер
562	-0.61	-0.6354	мер
563	-1.47	-1.5046	мер
564	-0.062	-0.0816	мер
565	0.948	0.9391	мер
566	0.031	0.0124	мер
567	-1.678	-1.7148	мер
568	-0.251	-0.2726	мер
569	0.553	0.5400	мер
570	-0.818	-0.8456	мер
571	-1.043	-1.0730	мер
572	0.347	0.3318	мер
573	0.999	0.9907	мер
574	2.973	2.9857	дю
575	-0.743	-0.7698	мер
576	-0.565	-0.5899	мер
577	-0.711	-0.7375	мер
578	-0.154	-0.1746	мер
579	-1.778	-1.8158	мер
580	-1.578	-1.6137	мер
581	1.699	1.6981	мер
582	-0.541	-0.5657	мер
583	1.276	1.2706	мер
584	1.809	1.8093	мер
585	-1.33	-1.3631	мер
586	1.746	1.7456	мер
587	0.538	0.5248	мер
588	0.579	0.5662	мер
589	-1.815	-1.8532	мер
590	0.776	0.7653	мер
591	-1.212	-1.2438	мер
592	0.754	0.7431	мер
593	-0.648	-0.6738	мер
594	-0.452	-0.4757	мер
595	-0.313	-0.3353	мер
596	0.015	-0.0038	мер
597	0.38	0.3651	мер
598	1.929	1.9306	мер
599	1.385	1.3808	мер
600	-1.276	-1.3085	мер
601	0.926	0.9169	мер
602	-0.38	-0.4030	мер
603	0.513	0.4995	мер
604	1.039	1.0311	мер
605	1.054	1.0463	мер
606	-1.043	-1.0730	мер
607	-0.509	-0.5333	мер
608	0.279	0.2630	мер
609	-0.446	-0.4697	мер
610	-0.31	-0.3322	мер
611	0.068	0.0498	мер
612	1.087	1.0796	мер
613	-0.449	-0.4727	мер
614	-0.27	-0.2918	мер
615	0.001	-0.0179	мер
616	-1.104	-1.1347	мер
617	1.071	1.0635	мер
618	0.284	0.2681	мер
619	1.538	1.5354	мер
620	1.341	1.3363	мер
621	3.284	3.3000	дю
622	-0.957	-0.9861	мер
623	-1.686	-1.7228	мер
624	-0.269	-0.2908	мер
625	-0.1	-0.1200	мер
626	0.51	0.4965	мер
627	1.252	1.2464	мер
628	-0.28	-0.3019	мер
629	0.705	0.6936	мер
630	1.268	1.2625	мер
631	0.774	0.7633	мер
632	0.236	0.2196	мер
633	0.234	0.2176	мер
634	0.835	0.8249	мер
635	-1.24	-1.2721	мер
636	1.159	1.1524	мер
637	0.568	0.5551	мер
638	-0.197	-0.2180	мер
639	-1.637	-1.6733	мер
640	-1.021	-1.0508	мер
641	-0.535	-0.5596	мер
642	-0.869	-0.8972	мер
643	-0.073	-0.0927	мер
644	2.161	2.1650	дю
645	-0.65	-0.6758	мер
646	-0.459	-0.4828	мер
647	1.083	1.0756	мер
648	0.675	0.6632	мер
649	-0.688	-0.7142	мер
650	-0.595	-0.6203	мер
651	0.222	0.2054	мер
652	0.079	0.0609	мер
653	-1.121	-1.1518	мер
654	0.084	0.0660	мер
655	-0.046	-0.0654	мер
656	1.425	1.4212	мер
657	0.907	0.8977	мер
658	-0.709	-0.7355	мер
659	2.023	2.0256	дю
660	-0.307	-0.3292	мер
661	0.176	0.1589	мер
662	-0.232	-0.2534	мер
663	0.041	0.0225	мер
664	-1.802	-1.8401	мер
665	-0.27	-0.2918	мер
666	-0.544	-0.5687	мер
667	-1.254	-1.2863	мер
668	-1.479	-1.5136	мер
669	-0.974	-1.0033	мер
670	0.174	0.1569	мер
671	-0.302	-0.3241	мер
672	-0.846	-0.8739	мер
673	-1.211	-1.2428	мер
674	1.679	1.6779	мер
675	0.461	0.4470	мер
676	-0.244	-0.2655	мер
677	0.581	0.5682	мер
678	-0.679	-0.7051	мер
679	0.4	0.3853	мер
680	0.658	0.6461	мер
681	0.497	0.4834	мер
682	0.782	0.7714	мер
683	-0.218	-0.2392	мер
684	-0.26	-0.2817	мер
685	-0.843	-0.8709	мер
686	1.037	1.0291	мер
687	0.914	0.9048	мер
688	0.206	0.1893	мер
689	-0.819	-0.8466	мер
690	-1.41	-1.4439	мер
691	0.491	0.4773	мер
692	0.787	0.7764	мер
693	1.264	1.2585	мер
694	-1.053	-1.0831	мер
695	0.169	0.1519	мер
696	0.043	0.0245	мер
697	1.778	1.7780	мер
698	-0.805	-0.8325	мер
699	-0.839	-0.8668	мер
700	1.435	1.4313	мер
701	1.481	1.4778	мер
702	-0.797	-0.8244	мер
703	-0.479	-0.5030	мер
704	-1.577	-1.6127	мер
705	1.441	1.4374	мер
706	-0.107	-0.1271	мер
707	0.07	0.0518	мер
708	2.117	2.1206	дю
709	-1.221	-1.2529	мер
710	-0.605	-0.6304	мер
711	-0.343	-0.3656	мер
712	-1.93	-1.9694	мер
713	0.87	0.8603	мер
714	1.502	1.4990	мер
715	-1.123	-1.1539	мер
716	1.116	1.1089	мер
717	-0.19	-0.2109	мер
718	1.976	1.9781	мер
719	-0.054	-0.0735	мер
720	1.981	1.9831	мер
721	-0.136	-0.1564	мер
722	1.105	1.0978	мер
723	-0.602	-0.6273	мер
724	-1.671	-1.7077	мер
725	-0.447	-0.4707	мер
726	-0.206	-0.2271	мер
727	-0.188	-0.2089	мер
728	-0.306	-0.3282	мер
729	-0.947	-0.9760	мер
730	1.461	1.4576	мер
731	1.393	1.3889	мер
732	1.96	1.9619	мер
733	3.389	3.4061	дю
734	-0.002	-0.0209	мер
735	-0.513	-0.5374	мер
736	-1.303	-1.3358	мер
737	1.092	1.0847	мер
738	0.147	0.1296	мер
739	-0.42	-0.4434	мер
740	-2.138	-2.1797	дю
741	2.675	2.6845	дю
742	1.105	1.0978	мер
743	1.274	1.2686	мер
744	-0.444	-0.4676	мер
745	0.64	0.6279	мер
746	1.251	1.2454	мер
747	-0.081	-0.1008	мер
748	2.256	2.2610	дю
749	-1.662	-1.6986	мер
750	0.484	0.4702	мер
751	1.476	1.4728	мер
752	-0.71	-0.7365	мер
753	2.361	2.3672	дю
754	-1.264	-1.2964	мер
755	-0.013	-0.0321	мер
756	-0.344	-0.3666	мер
757	1.383	1.3788	мер
758	-0.767	-0.7941	мер
759	0.958	0.9493	мер
760	-1.028	-1.0579	мер
761	-0.461	-0.4848	мер
762	-0.124	-0.1442	мер
763	0.056	0.0377	мер
764	-0.704	-0.7304	мер
765	0.407	0.3924	мер
766	-1.427	-1.4611	мер
767	-0.12	-0.1402	мер
768	0.775	0.7643	мер
769	0.63	0.6178	мер
770	-0.26	-0.2817	мер
771	-1.297	-1.3297	мер
772	0.446	0.4318	мер
773	-0.635	-0.6607	мер
774	-0.263	-0.2847	мер
775	-0.15	-0.1705	мер
776	0.207	0.1903	мер
777	-0.208	-0.2291	мер
778	-1.281	-1.3135	мер
779	-0.032	-0.0513	мер
780	-0.501	-0.5253	мер
781	-0.329	-0.3514	мер
782	-1.052	-1.0821	мер
783	1.454	1.4505	мер
784	-1.765	-1.8027	мер
785	1.589	1.5870	мер
786	0.316	0.3004	мер
787	1.261	1.2555	мер
788	-0.53	-0.5546	мер
789	0.174	0.1569	мер
790	0.429	0.4146	мер
791	-0.225	-0.2463	мер
792	0.82	0.8098	мер
793	0.659	0.6471	мер
794	0.683	0.6713	мер
795	-0.058	-0.0775	мер
796	-1.513	-1.5480	мер
797	-0.171	-0.1917	мер
798	-0.722	-0.7486	мер
799	-1.371	-1.4045	мер
800	-0.188	-0.2089	мер
801	-0.586	-0.6112	мер
802	-1.525	-1.5601	мер
803	-0.347	-0.3696	мер
804	0.154	0.1367	мер
805	1.424	1.4202	мер
806	0.293	0.2772	мер
807	-0.018	-0.0371	мер
808	0.65	0.6380	мер
809	1.91	1.9114	мер
810	1.215	1.2090	мер
811	-0.855	-0.8830	мер
812	-0.081	-0.1008	мер
813	-0.748	-0.7749	мер
814	-0.104	-0.1240	мер
815	0.744	0.7330	мер
816	0.848	0.8381	мер
817	-1.806	-1.8441	мер
818	-1.657	-1.6935	мер
819	0.065	0.0468	мер
820	1.323	1.3181	мер
821	1.35	1.3454	мер
822	0.043	0.0245	мер
823	-0.081	-0.1008	мер
824	-1.264	-1.2964	мер
825	-0.628	-0.6536	мер
826	1.11	1.1029	мер
827	0.8	0.7896	мер
828	0.082	0.0639	мер
829	-0.028	-0.0472	мер
830	0.173	0.1559	мер
831	0.32	0.3045	мер
832	-0.971	-1.0002	мер
833	1.115	1.1079	мер
834	-1.46	-1.4944	мер
835	0.632	0.6198	мер
836	1.058	1.0503	мер
837	-0.581	-0.6061	мер
838	-0.108	-0.1281	мер
839	1.007	0.9988	мер
840	-0.111	-0.1311	мер
841	-2.043	-2.0836	дю
842	0.294	0.2782	мер
843	2.486	2.4935	дю
844	-0.17	-0.1907	мер
845	-0.583	-0.6081	мер
846	-0.876	-0.9042	мер
847	-0.341	-0.3636	мер
848	-1.129	-1.1599	мер
849	0.97	0.9614	мер
850	0.917	0.9078	мер
851	0.363	0.3479	мер
852	0.894	0.8846	мер
853	0.612	0.5996	мер
854	1.345	1.3404	мер
855	-0.48	-0.5040	мер
856	-0.054	-0.0735	мер
857	-1.013	-1.0427	мер
858	-1.006	-1.0356	мер
859	-0.166	-0.1867	мер
860	-0.001	-0.0199	мер
861	0.836	0.8260	мер
862	1.136	1.1291	мер
863	0.418	0.4035	мер
864	0.286	0.2701	мер
865	-1.448	-1.4823	мер
866	0.238	0.2216	мер
867	-0.618	-0.6435	мер
868	0.737	0.7259	мер
869	-1.336	-1.3691	мер
870	0.237	0.2206	мер
871	0.101	0.0831	мер
872	-0.188	-0.2089	мер
873	0.014	-0.0048	мер
874	-0.498	-0.5222	мер
875	0.535	0.5218	мер
876	0.018	-0.0007	мер
877	0.467	0.4530	мер
878	0.369	0.3540	мер
879	-0.894	-0.9224	мер
880	-0.244	-0.2655	мер
881	-0.684	-0.7102	мер
882	-0.603	-0.6283	мер
883	-0.382	-0.4050	мер
884	1.123	1.1160	мер
885	-0.737	-0.7638	мер
886	-0.93	-0.9588	мер
887	1.481	1.4778	мер
888	0.954	0.9452	мер
889	-0.488	-0.5121	мер
890	0.194	0.1771	мер
891	2.065	2.0680	дю
892	0.297	0.2812	мер
893	-0.291	-0.3130	мер
894	-0.692	-0.7183	мер
895	0.994	0.9856	мер
896	0.616	0.6036	мер
897	0.081	0.0629	мер
898	0.308	0.2923	мер
899	-0.231	-0.2524	мер
