Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100
0.183,0.468,0.486,0.397,-0.429,1.701,-0.563,-1.441,0.29,1.26,1.397,-0.34,1.399,-0.244,-0.655,0.491,-1.315,0.359,0.834,-1.327,-2.573,1.26,0.541,-0.957,-1.96,-0.914,0.386,0.044,-0.242,-0.448,0.125,2.965,-1.079,1.032,2.348,-0.998,-0.198,-1.131,1.301,-0.606,-0.887,0.105,1.382,-1.406,0.792,-1.519,-0.118,0.287,-0.128,0.175,-0.236,0.243,0.77,0.423,0.291,0.277,1.41,-0.312,-1.056,0.999,0.88,-1.617,-0.7,-0.847,0.056,-0.209,-0.343,1.328,-0.859,1.752,0.509,-0.768,1.061,-0.148,1.117,-0.135,0.148,0.382,-0.458,-0.362,-0.838,0.075,-0.952,0.751,-0.287,-2.686,1.942,-0.49,2.05,-1.088,0.284,1.055,0.647,0.508,0.254,0.136,-0.534,1.12,0.302,-0.019
0.076,0.229,-0.441,-0.062,-0.475,-0.18,0.501,0.449,0.572,-0.793,0.221,-0.372,-0.628,-1.488,-0.084,0.083,-0.586,0.082,-0.519,-1.385,0.087,-0.305,-0.179,-2.442,0.108,-1.218,1.077,1.586,-0.988,0.495,-0.842,2.306,0.068,-0.448,-0.03,0.836,-2.22,0.353,-0.7,-0.413,0.738,1.028,0.166,-0.241,-0.607,0.173,0.353,0.225,-2.055,0.592,-0.965,1.117,-1.988,0.855,-0.635,-0.685,0.683,-0.551,0.175,1.697,-0.151,-0.004,1.389,-0.818,-2.459,0.139,-0.325,0.493,-2.189,-0.15,0.251,0.287,0.382,0.979,-1.133,-1.088,-0.245,1.936,2.776,0.457,-0.704,-0.162,0.269,-1.142,1.588,-0.076,0.665,0.071,-1.311,1.237,-1.987,-1.863,0.425,0.205,0.21,-0.262,-0.177,-0.564,1.051,0.713
-0.858,0.317,0.165,-0.38,-1.753,-0.285,0.339,0.316,0.85,-1.14,1.153,-0.134,0.911,-0.997,0.734,1.885,0.797,0.433,-0.691,1.636,-0.43,-2.066,-1.754,0.266,-1.087,-0.593,-0.583,0.273,0.408,-0.359,-0.451,-0.746,0.897,-0.484,0.923,-1.15,0.696,0.16,2.435,0.151,0.342,-1.315,-2.098,0.313,0.131,-1.528,1.05,-0.691,-0.834,-0.959,-0.047,0.083,1.337,-0.935,-0.043,-0.011,0.47,-0.14,0.969,-1.095,0.713,1.296,1.136,0.76,-1.512,0.735,-1.618,-0.106,0.449,0.09,1.076,-0.491,0.57,-0.251,-0.008,0.195,-1.889,1.044,0.331,-2.537,-0.594,0.71,0.048,0.563,1.001,-0.303,-0.341,0.073,0.271,-0.275,0.45,1.494,0.828,0.691,-0.889,0.043,-1.696,0.476,-1.852,-0.04
0.494,-0.42,-0.208,-0.736,0.039,0.782,-0.106,2.606,-0.823,-1.319,0.805,0.437,-1.04,0.015,-0.756,-0.524,1.17,0.643,1.893,1.742,0.193,-0.798,-2.37,-0.036,0.282,0.959,0.932,0.978,-0.049,0.609,0.723,-0.593,-0.854,-1.549,-0.28,0.137,-1.233,1.582,0.269,-0.014,1.169,-0.487,0.742,0.483,-0.735,-0.885,-0.73,-0.636,0.856,-2.166,0.503,0.038,0.182,-0.183,0.076,-0.169,-1.32,0.176,0.184,-0.453,0.163,-1.849,-0.608,-0.313,0.344,1.034,-0.291,-1.61,-0.231,0.371,-0.243,0.257,-0.418,-0.679,-1.964,-1.389,0.228,-0.896,-0.178,0.665,-0.816,0.997,0.817,-0.474,0.787,-0.0,0.535,-0.519,-0.397,0.403,1.074,-2.133,0.835,0.653,0.521,0.921,-1.201,0.147,-0.279,-1.229
0.393,-0.206,1.172,1.696,-0.506,-1.976,-0.018,0.042,0.769,-0.582,0.944,0.802,-0.877,2.415,0.508,0.026,1.797,-0.669,-1.113,-0.457,0.156,1.191,-2.926,-0.286,-0.801,-0.135,0.06,2.079,0.277,-0.781,0.202,0.26,-0.758,1.207,1.262,0.866,0.27,1.619,-0.837,-1.42,-0.053,-0.775,1.916,-0.787,1.583,0.742,-1.254,0.629,1.221,1.389,1.883,-0.175,-0.115,1.302,-0.447,-1.0,0.318,-2.347,-1.466,-0.318,0.924,0.93,0.592,-0.465,-0.379,0.36,-2.049,-0.677,-0.784,-0.276,0.719,-0.846,-0.499,1.579,0.056,0.218,0.719,-0.451,0.671,0.646,1.162,0.196,-0.571,-1.419,0.687,0.89,1.07,0.805,1.258,-0.612,2.292,-0.017,-0.259,-0.807,-0.649,-1.769,0.552,-0.316,0.832,-0.645
-0.027,1.163,-0.443,-0.095,1.366,-0.045,0.08,-2.061,0.488,-0.338,-0.086,-0.875,2.023,0.361,-0.715,-0.302,0.808,-0.207,-0.072,-0.557,-1.053,-0.224,0.135,0.649,-1.203,-0.603,-0.829,-0.351,-1.146,0.462,2.189,1.641,-1.653,-0.847,0.065,0.395,0.209,1.525,1.21,-0.149,-0.728,-0.121,1.506,0.227,0.05,-0.035,2.058,0.27,-2.222,0.541,1.331,0.082,-0.239,-0.401,-0.12,1.004,-0.817,0.524,-0.063,0.654,0.01,-0.391,1.017,-0.872,0.153,-0.361,0.207,-0.106,-0.249,-0.638,-0.138,1.565,0.238,-0.703,1.8,1.413,-2.042,-0.513,-0.076,0.876,1.263,2.564,-0.118,0.856,-0.554,-1.267,-0.607,-0.57,1.517,0.246,0.756,0.758,1.286,1.919,0.216,1.143,0.093,-0.36,-0.537,0.817
-0.564,-0.327,1.024,-1.696,-1.351,-0.133,-0.027,0.083,-0.283,1.284,0.597,0.347,0.497,-1.342,-0.183,-0.833,0.972,-0.069,1.18,1.824,-1.111,-2.239,0.389,-0.288,0.74,-0.033,-0.184,-1.479,1.721,0.471,-0.121,-0.626,0.597,0.417,-0.412,0.513,0.483,0.973,1.053,-1.317,0.487,-0.057,1.071,0.983,-1.146,-0.22,-1.495,1.112,-1.309,-1.27,0.432,-0.994,0.397,1.344,-2.262,2.117,0.111,-0.92,0.544,1.453,-1.303,-0.578,0.071,-0.605,2.703,-1.01,-1.072,-0.795,-0.112,-0.911,1.513,0.089,0.887,1.305,0.736,-1.223,-0.556,1.779,1.537,1.253,-0.595,0.061,1.35,1.3,0.482,-1.269,0.464,0.346,-0.388,-0.616,0.058,-1.814,1.238,1.34,-0.34,2.286,-1.524,-0.298,0.128,-2.253
1.741,-1.023,-0.383,-1.272,0.607,-1.508,-0.398,0.955,-2.12,0.085,1.602,0.382,-0.571,-1.198,0.064,1.637,1.244,0.193,-0.442,0.77,-0.465,0.158,-0.864,0.425,0.136,-0.697,-0.352,-0.528,0.675,-1.178,0.334,-0.644,0.578,0.189,-0.391,-0.153,-0.89,1.195,-0.323,0.424,1.357,1.138,2.065,-0.656,0.698,0.207,1.026,-1.379,0.846,0.647,0.123,1.733,-0.015,-1.878,0.279,1.384,-0.294,0.638,0.501,-0.532,-0.162,0.561,-0.082,-0.119,0.182,-0.023,-0.768,-1.04,1.203,-0.869,0.859,-0.197,-0.324,0.056,0.341,1.195,0.19,-0.078,0.042,-1.296,-0.307,-0.365,0.338,-0.578,-2.341,-1.815,-0.462,-0.373,2.621,-0.621,-2.236,-0.118,-1.73,-1.08,-1.454,-1.784,1.503,-1.44,0.684,1.192
-1.177,0.963,0.525,-0.624,-0.183,0.194,0.871,0.651,-2.139,0.55,-0.123,0.435,-0.748,-1.881,0.173,0.895,-0.293,-1.349,-1.764,-1.149,-0.833,1.322,-0.129,-1.069,0.279,0.695,1.034,-0.804,1.451,-1.633,-0.55,-0.181,0.95,0.279,-0.756,1.491,0.626,0.019,0.157,-0.443,1.595,-0.406,0.255,-0.635,0.178,-0.371,1.067,0.482,-0.654,-1.306,0.741,-0.186,1.29,0.584,1.405,1.345,-0.719,0.973,0.908,1.5,1.438,1.003,1.727,1.533,1.677,0.681,1.071,-0.596,1.004,-0.53,2.392,-1.828,-0.525,-0.584,0.501,0.21,-1.562,-0.488,0.638,0.379,0.794,-1.277,1.312,-0.632,0.879,1.12,1.235,0.386,-0.512,0.96,-1.118,1.187,0.605,-0.28,0.035,-0.02,-1.182,-1.516,-0.024,-0.801
1.243,-0.251,-0.92,0.701,-0.559,-1.106,0.435,2.235,-2.253,1.169,0.517,-0.022,0.291,-0.36,1.31,-1.077,-0.583,-0.778,-0.937,-0.339,0.14,1.17,3.06,1.91,0.316,1.977,0.694,0.318,0.717,1.61,-0.167,-0.555,0.142,1.517,0.017,0.15,1.864,-1.059,0.078,0.283,-0.787,-1.234,2.499,1.007,-0.316,-1.087,-1.816,-1.272,0.042,0.971,-0.496,-0.207,0.01,-1.472,1.138,-0.209,-2.389,0.485,-0.814,1.074,-0.517,-0.545,0.587,1.563,1.022,-0.171,-0.027,0.971,-0.729,-0.241,1.254,-1.516,-1.024,0.307,-0.176,1.487,0.443,-0.913,1.274,-0.826,-0.028,-0.899,-0.674,-1.352,1.073,0.427,0.384,0.538,-0.459,-0.852,0.491,-0.62,0.319,0.884,0.502,0.141,0.761,-0.343,-0.084,-0.114
1.899,-1.183,0.053,0.171,-0.045,-1.237,-1.204,-1.252,-1.137,-0.803,-0.079,0.694,1.096,-0.005,0.635,-0.09,-0.482,-0.542,-0.738,-0.861,-3.12,0.175,-0.227,-0.728,-0.167,-1.857,1.731,-0.091,0.223,1.166,-0.188,0.048,0.918,-0.134,-0.422,-0.463,-0.002,1.043,0.964,0.675,0.014,-0.206,-1.043,0.333,1.947,0.205,0.107,1.328,0.091,-1.06,-0.914,-1.916,0.576,0.582,-0.915,2.569,1.656,0.803,1.108,-0.538,2.871,0.162,-2.051,-1.044,-0.797,0.589,-0.166,-0.033,1.515,0.968,-0.087,-0.075,-1.034,1.958,0.491,-0.258,-1.918,0.681,-1.286,1.324,-0.058,0.829,0.585,1.627,0.317,-1.165,1.987,-0.145,-0.064,0.993,1.451,-0.413,1.262,-0.668,0.661,-1.007,-0.017,0.858,0.787,1.025
-0.056,-2.187,0.669,0.859,-0.361,1.84,2.094,0.019,0.424,-0.798,-0.507,1.026,-1.548,-0.091,-0.336,0.453,-0.141,0.067,0.845,-0.316,-0.684,0.546,0.274,0.515,0.856,-0.296,1.15,-0.659,1.5,-1.783,-0.509,0.803,-0.672,1.617,0.235,-0.744,-1.802,0.508,-2.324,1.328,1.642,-0.333,-1.26,1.712,-0.357,-1.019,-0.848,-0.531,-0.469,-0.552,-0.931,-1.679,0.306,0.601,-1.704,-2.219,1.13,-2.546,-0.499,1.167,0.657,-1.87,-1.314,-0.925,-1.023,0.379,-1.289,-0.719,-1.337,-0.749,-0.364,1.274,0.237,-0.657,0.049,0.943,0.063,0.954,-0.072,0.17,0.281,-0.263,1.085,-0.678,-1.399,-0.394,-0.792,1.396,1.103,0.574,0.216,0.29,0.078,-0.523,0.911,0.112,-0.658,-0.623,-0.075,-1.074
0.013,-1.053,0.726,1.502,0.678,0.579,0.85,1.052,0.266,0.461,0.189,0.846,-1.074,0.164,-1.448,0.091,-0.437,-0.352,-0.04,0.667,-0.499,-0.71,0.011,0.57,0.704,-0.01,0.76,-0.382,-0.425,0.723,1.567,-0.492,1.725,0.661,-0.001,1.976,-0.891,-0.131,0.05,-0.665,-0.741,0.95,1.25,-0.581,-0.735,-0.325,1.055,-0.744,-0.328,1.286,0.699,0.742,-1.516,1.096,0.848,-0.62,0.063,0.018,1.415,1.079,0.913,0.125,0.521,-0.634,1.062,-0.225,-1.694,1.295,1.186,1.253,-0.436,0.81,-0.713,0.308,0.099,0.75,-0.309,-0.429,-0.863,0.223,0.351,1.014,-0.259,1.91,0.365,0.031,-0.489,-0.177,0.771,-0.398,1.01,0.223,1.37,-0.288,0.46,-0.745,-2.532,-1.19,-0.093,0.648
-0.195,0.858,0.365,2.13,-0.392,0.555,-1.273,-3.773,-1.662,-0.662,-0.136,0.705,-1.938,-0.77,1.556,-1.547,0.219,-1.125,2.391,0.862,-0.333,-0.75,1.28,0.162,-0.732,-0.014,-1.098,0.103,-1.427,-0.791,0.464,0.544,0.283,1.668,-0.283,-0.004,-0.521,-2.557,-0.349,0.097,-0.382,-0.757,-0.002,0.144,-1.779,-1.14,-0.589,-0.521,-0.859,-0.065,-0.192,0.576,-2.029,0.867,0.142,-0.107,0.337,-0.049,1.231,-0.103,-1.155,-0.337,-0.803,-0.913,-1.002,-0.49,-0.666,-0.456,-1.014,-1.54,-2.192,-0.345,0.806,-1.11,0.034,0.39,1.122,0.411,0.23,-0.956,0.875,-0.648,0.624,-0.615,1.472,1.027,1.32,0.335,-1.215,-0.756,-0.57,-0.187,0.704,-0.492,1.215,0.414,-0.321,-0.459,-0.675,-1.311
-0.58,1.086,0.222,0.426,-1.538,0.97,0.085,-0.818,0.149,0.964,0.891,0.703,1.608,1.377,-1.163,0.319,0.012,-1.369,0.452,-1.816,0.883,-0.568,0.813,0.66,-0.65,0.451,0.734,-0.306,1.003,0.639,1.557,0.747,2.503,0.76,0.168,1.207,0.485,1.968,0.392,1.812,1.594,-1.107,1.667,-1.32,-0.029,-0.461,0.708,0.974,-1.459,-1.934,0.632,-0.502,-2.45,-0.585,-0.117,2.025,1.098,-0.477,-0.715,1.05,-0.383,-1.423,0.177,-1.416,0.957,1.296,-0.023,-0.59,-1.486,-0.032,-0.951,0.64,0.492,-0.041,-0.308,1.849,0.897,0.256,-0.93,-0.966,-0.238,-1.327,-0.062,0.624,-0.832,0.091,1.126,0.878,-0.053,-1.64,-0.861,0.095,-0.422,-1.701,0.776,0.709,-0.462,-0.836,-0.066,-0.63
-0.063,-0.875,-0.405,-0.391,-0.217,-0.877,0.162,1.642,0.932,-1.406,0.747,-1.504,1.353,-0.781,-0.28,-1.491,0.61,-0.234,0.338,0.27,0.317,0.757,-0.238,-0.717,-0.259,-0.515,-0.719,0.397,1.256,0.678,0.403,0.181,0.279,-1.072,-0.726,0.457,-0.877,1.12,1.121,0.634,0.022,-0.456,1.577,0.274,0.61,0.324,-0.045,-0.182,-0.082,1.006,0.218,-1.063,0.379,-1.702,-0.708,-1.223,1.381,1.029,1.203,-0.019,-0.298,0.056,-0.073,0.334,-0.618,0.103,-0.219,-0.367,-1.179,-0.907,-0.833,-1.355,1.57,0.737,0.231,-0.318,-0.139,0.478,0.664,-0.091,-0.119,-1.331,-1.759,1.03,0.588,0.755,-1.679,-0.453,0.924,-2.073,-0.029,1.248,1.421,1.678,0.095,2.757,-0.546,-0.625,0.573,0.999
-1.741,0.306,0.359,0.641,0.754,0.65,0.832,-2.302,2.007,-0.856,-0.161,0.274,0.523,-0.807,0.271,-1.206,0.994,2.798,-0.265,0.391,0.802,-0.921,-0.584,0.155,-1.077,-0.163,-0.026,0.152,0.414,0.484,-1.092,-0.742,1.097,0.642,-0.219,2.19,-1.115,-0.844,-0.352,0.136,-0.003,0.154,0.483,-0.051,-0.693,0.065,-0.472,1.007,0.951,0.299,-1.112,-1.525,-0.903,-0.622,-0.962,0.194,-0.379,-0.464,1.225,1.215,1.33,0.993,0.612,1.178,-3.139,-2.032,0.819,-0.091,-2.059,0.693,-1.273,2.595,0.367,-1.229,0.037,0.292,-0.831,0.4,0.707,2.14,0.889,0.331,-2.104,0.514,0.233,-0.478,0.625,0.678,0.362,0.661,1.264,-1.057,0.693,2.415,-0.391,0.178,1.652,0.637,-0.554,0.175
-0.562,-0.551,0.203,-1.79,0.345,-0.641,-1.114,-1.072,-0.494,-0.543,-0.348,-0.502,0.016,1.377,0.451,0.006,0.615,-0.211,-1.567,0.226,2.22,0.866,-0.396,-0.307,-0.097,-0.823,-0.238,1.691,-0.246,1.246,0.825,-1.273,0.091,-0.159,-0.365,-0.619,-1.768,1.341,2.396,-1.64,0.273,1.38,0.359,-0.814,0.836,0.628,-0.713,0.126,0.3,2.107,0.743,-0.259,0.482,0.423,0.526,-0.941,-0.361,0.4,-1.351,2.229,-0.478,0.855,1.16,-0.332,-0.809,-1.307,1.09,-0.438,-0.807,-0.708,-0.989,-0.233,-0.13,0.73,-0.545,-0.3,-1.316,-0.636,0.213,-0.537,1.448,1.062,-0.45,0.448,1.256,-0.188,1.513,1.079,0.244,-1.217,1.524,0.204,0.139,0.349,2.449,0.577,1.561,-0.758,-0.368,-0.316
